tenantId,id,voterId,electionId,position,timestamp,auditTxId
"root","uEJyOd7qgV78D4FwldxY_0322080011__general_secretary","0322080011","uEJyOd7qgV78D4FwldxY"," General Secretary","2026-07-30T19:39:27.589Z","YPQ2h87JZVIw1gjCdkYr"
"root","uEJyOd7qgV78D4FwldxY_0322080011_financial_secretary","0322080011","uEJyOd7qgV78D4FwldxY","Financial Secretary","2026-07-30T19:39:27.691Z","IzDjbQKWghDsOpYN5zCF"
"root","uEJyOd7qgV78D4FwldxY_0322080011_organizing_secretary","0322080011","uEJyOd7qgV78D4FwldxY","Organizing Secretary","2026-07-30T19:39:27.633Z","SfUdlDoKIzk2RXRjLe7l"
"root","uEJyOd7qgV78D4FwldxY_0322080011_president","0322080011","uEJyOd7qgV78D4FwldxY","President","2026-07-30T19:39:27.625Z","INYfbvw4MCNlnPBHSsaP"
"root","uEJyOd7qgV78D4FwldxY_0322080011_public_relations_officer__pro_","0322080011","uEJyOd7qgV78D4FwldxY","Public Relations Officer (PRO)","2026-07-30T19:39:27.595Z","jxaaoLnCaOdij7PswDGn"
"root","uEJyOd7qgV78D4FwldxY_0322080011_wocom","0322080011","uEJyOd7qgV78D4FwldxY","WOCOM","2026-07-30T19:39:27.637Z","Wp8evTq9Wg6XvK5vi0R3"
"root","uEJyOd7qgV78D4FwldxY_0322080016__general_secretary","0322080016","uEJyOd7qgV78D4FwldxY"," General Secretary","2026-07-30T19:28:27.947Z","1ra2mXDoMP9AGQy0UrhT"
"root","uEJyOd7qgV78D4FwldxY_0322080016_financial_secretary","0322080016","uEJyOd7qgV78D4FwldxY","Financial Secretary","2026-07-30T19:28:27.460Z","aiKZTHNw4mYFGD2V8pzO"
"root","uEJyOd7qgV78D4FwldxY_0322080016_organizing_secretary","0322080016","uEJyOd7qgV78D4FwldxY","Organizing Secretary","2026-07-30T19:28:27.508Z","I2Iw4lRqI1OEC1Guqjod"
"root","uEJyOd7qgV78D4FwldxY_0322080016_president","0322080016","uEJyOd7qgV78D4FwldxY","President","2026-07-30T19:28:27.762Z","AzjXuaa0AbsQY5rcUByD"
"root","uEJyOd7qgV78D4FwldxY_0322080016_public_relations_officer__pro_","0322080016","uEJyOd7qgV78D4FwldxY","Public Relations Officer (PRO)","2026-07-30T19:28:27.525Z","9FaqMWqK1Xztzil1CukT"
"root","uEJyOd7qgV78D4FwldxY_0322080016_wocom","0322080016","uEJyOd7qgV78D4FwldxY","WOCOM","2026-07-30T19:28:27.540Z","FmCQyYXHjyhzkONGcGXn"
"root","uEJyOd7qgV78D4FwldxY_0322080026__general_secretary","0322080026","uEJyOd7qgV78D4FwldxY"," General Secretary","2026-07-30T18:21:54.278Z","0DCf5LWoWv7p05J9t4Ql"
"root","uEJyOd7qgV78D4FwldxY_0322080026_organizing_secretary","0322080026","uEJyOd7qgV78D4FwldxY","Organizing Secretary","2026-07-30T18:21:54.176Z","YywWZjLpIAKPWo3PL9Dn"
"root","uEJyOd7qgV78D4FwldxY_0322080026_president","0322080026","uEJyOd7qgV78D4FwldxY","President","2026-07-30T18:21:54.321Z","JzhpS2kCwnNF0KcRih2u"
"root","uEJyOd7qgV78D4FwldxY_0322080026_public_relations_officer__pro_","0322080026","uEJyOd7qgV78D4FwldxY","Public Relations Officer (PRO)","2026-07-30T18:21:54.185Z","ZD2Smk2LCCAqsibVBBDa"
"root","uEJyOd7qgV78D4FwldxY_0322080026_wocom","0322080026","uEJyOd7qgV78D4FwldxY","WOCOM","2026-07-30T18:21:54.283Z","Vdg6zkm8AmaAl3d3AMef"
"root","uEJyOd7qgV78D4FwldxY_0322080040__general_secretary","0322080040","uEJyOd7qgV78D4FwldxY"," General Secretary","2026-07-30T20:01:13.320Z","WwcEdG3ugXabxsxHvnTo"
"root","uEJyOd7qgV78D4FwldxY_0322080040_financial_secretary","0322080040","uEJyOd7qgV78D4FwldxY","Financial Secretary","2026-07-30T20:01:13.524Z","TJ7IRhqsk9BM1haw2RvH"
"root","uEJyOd7qgV78D4FwldxY_0322080040_organizing_secretary","0322080040","uEJyOd7qgV78D4FwldxY","Organizing Secretary","2026-07-30T20:01:13.296Z","d1YKu5waUWN8ihz0UjCr"
